Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
603119 CH Equity,ZHEJIANG RONGT-A,94.47M,97.04,13.2,592.69,14.40%,Industrials,26.96B,1.03%,11.43%,28.14%,29.14%,-28.74,40.52
002675 CH Equity,YANTAI DONGCHE-A,94.38M,58.42,2.63,74.08,4.43%,Health Care,11.43B,1.71%,4.03%,20.27%,-53.20%,-7.6,1.2
669 HK Equity,TECHTRONIC IND,94.07M,22.12,3.81,15.12,17.99%,Industrials,208.04B,4.52%,13.34%,25.28%,10.02%,20,40.25
300236 CH Equity,SHANGHAI SINYA-A,93.86M,85.34,4.98,--,6.21%,Information Technology,25.68B,1.17%,4.86%,19.91%,87.12%,38.12,49.29
002317 CH Equity,GUANGDONG ZHON-A,93.75M,--,3.91,--,-4.69%,Health Care,15.77B,-1.25%,-6.02%,13.21%,391.84%,9.37,8.27
300323 CH Equity,BOE HC SEMITEK C,93.65M,--,2.46,--,-6.49%,Information Technology,16.21B,-2.71%,-3.00%,79.29%,22.67%,10.63,3.61
600428 CH Equity,COSCO SHIPPING-A,93.24M,13.47,1.54,5.55,12.09%,Industrials,26.01B,7.42%,8.25%,99.96%,45.75%,35.82,3.53
688362 CH Equity,FOREHOPE ELECT-A,93.24M,205.65,6.88,--,3.43%,Information Technology,18.07B,0.49%,1.81%,216.18%,11.02%,24.56,16.28
600905 CH Equity,CHINA THREE GO-A,91.84M,22.26,1.31,--,6.10%,Utilities,117.21B,4.49%,2.80%,182.76%,-46.40%,-5.09,-0.16
688403 CH Equity,UNION SEMICOND-A,91.66M,85.74,3.87,52.39,4.58%,Information Technology,14.89B,1.17%,4.03%,28.82%,-53.90%,-16.68,8.12
600645 CH Equity,VCANBIO CELL &-A,91.46M,174.4,3.5,45.27,2.04%,Health Care,13.34B,0.57%,1.60%,1.93%,-7.03%,16.95,7.89
601111 CH Equity,AIR CHINA LTD-A,90.74M,--,1.76,42.33,-4.04%,Industrials,111.46B,-2.40%,-1.09%,557.72%,-0.16%,-10.94,-0.38
600760 CH Equity,AVIC SHENYANG -A,90.29M,37.81,5.75,--,17.32%,Industrials,135.52B,2.64%,13.02%,7.33%,32.89%,-32.68,4.54
688382 CH Equity,INVENTISBIO CO-A,89.98M,--,7.47,--,-6.84%,Health Care,12.43B,-0.94%,-8.50%,1.28%,31.56%,-23.41,2.02
600664 CH Equity,HARBIN PHARMA-A,89.27M,21.58,1.67,72.71,8.26%,Health Care,9.44B,4.63%,5.90%,43.14%,-59.83%,3.02,0.41
600048 CH Equity,POLY DEVELOPME-A,88.41M,--,0.34,--,-0.45%,Real Estate,66.68B,-1.41%,0.90%,101.77%,-86.48%,-29.76,-3.26
601069 CH Equity,WESTERN REGION-A,87.79M,68.61,7.09,--,8.83%,Materials,32.28B,1.46%,6.01%,151.37%,137.22%,18.46,18.46
601766 CH Equity,CRRC CORP LTD-A,87.46M,13.35,1.03,11.72,7.73%,Industrials,169.74B,7.49%,5.23%,42.61%,-44.36%,-18.87,-0.41
301015 CH Equity,QINGDAO BAHEAL-A,87.02M,23.7,5.02,23.55,22.00%,Health Care,12.47B,4.22%,12.39%,123.78%,-10.32%,-10.66,5.11
603358 CH Equity,HUADA AUTOMOTI-A,86.93M,38.64,4.26,--,11.67%,Consumer Discretionary,16.33B,2.59%,3.40%,38.64%,552.21%,-17.96,-0.65
002027 CH Equity,FOCUS MEDIA IN-A,85.98M,16.76,5.53,15.87,33.65%,Communication Services,90.99B,5.97%,24.98%,17.22%,9.71%,-17.28,-0.38
3692 HK Equity,HANSOH PHARMACEU,85.92M,36.01,5.76,38.38,17.35%,Health Care,233.61B,2.78%,14.33%,0.30%,45.57%,6.52,17.1
ST SP Equity,SINGAPORE TELECO,85.49M,13.23,3.14,34.85,24.95%,Communication Services,81.61B,7.56%,10.94%,41.80%,71.23%,18.42,1.58
600531 CH Equity,HENAN YUGUANG-A,85.12M,16.98,2.55,--,15.76%,Materials,16.46B,5.89%,7.63%,214.25%,3.64%,2.72,7.67
600050 CH Equity,CHINA UNITED-A,84.94M,15.06,0.84,11.14,5.47%,Communication Services,141.32B,6.64%,3.80%,12.66%,42.16%,-16.59,-0.72
600196 CH Equity,SHANGHAI FOSUN-A,84.91M,20.84,1.44,155.05,7.03%,Health Care,65.71B,4.80%,2.23%,59.29%,143.79%,-9.51,2.88
600577 CH Equity,TONGLING JINGD-A,84.07M,44.21,4.33,12.06,10.06%,Industrials,26.67B,2.26%,5.53%,107.18%,-1.06%,13.96,6.48
300185 CH Equity,TONGYU HEAVY-A,83.98M,176.32,1.79,--,1.02%,Industrials,13.00B,0.57%,1.21%,81.22%,77.09%,-0.73,0.87
300866 CH Equity,ANKER INNOVATI-A,83.87M,21.93,5.67,--,26.12%,Information Technology,56.08B,4.56%,20.93%,31.38%,19.94%,-13.56,39.22
002326 CH Equity,ZHEJIANG YONG-A,83.63M,--,7.82,--,-12.26%,Materials,21.31B,-1.61%,-3.39%,174.95%,89.12%,33.51,14.23
002654 CH Equity,SHENZHEN MASON-A,83.56M,205.77,7.52,--,3.72%,Information Technology,11.77B,0.49%,4.02%,87.50%,-36.07%,-4.4,2.75
688150 CH Equity,SHAANXI LIGHTE-A,83.45M,85.91,10.35,166.57,12.19%,Information Technology,18.68B,1.16%,10.51%,11.05%,51.29%,81.38,27.17
600460 CH Equity,HANGZHOU SILAN-A,83.21M,80.61,3.65,--,4.50%,Information Technology,43.63B,1.24%,2.23%,56.50%,-27.38%,-15.69,3.86
300068 CH Equity,ZHEJIANG NARAD-A,82.81M,--,2.66,--,-42.29%,Industrials,10.35B,-19.24%,-12.72%,253.43%,50.55%,-38.79,-2.28
688503 CH Equity,CHANGZHOU FUSI-A,82.26M,49.49,4.21,--,8.69%,Information Technology,21.07B,2.02%,3.86%,125.25%,1.98k%,22.1,61.18
002920 CH Equity,HUIZHOU DESAY -A,82.00M,24.59,4.09,55.53,19.58%,Consumer Discretionary,63.11B,4.07%,13.68%,31.64%,40.95%,-23.47,9.08
002151 CH Equity,BEIJING BDSTAR-A,81.99M,--,4.24,108.16,-5.17%,Information Technology,20.49B,-1.24%,-5.74%,3.23%,40.23%,26.86,13.36
601006 CH Equity,DAQIN RAILWAY -A,81.75M,15.44,0.63,9.54,4.14%,Industrials,104.16B,6.48%,2.82%,6.67%,-30.94%,-10.56,-1.28
688548 CH Equity,GUANGZHOU GUAN-A,81.04M,121.27,5.4,--,4.56%,Materials,31.97B,0.82%,3.63%,31.68%,76.77%,95.2,13.16
688047 CH Equity,LOONGSON TECHN-A,80.34M,--,20.74,--,-23.46%,Information Technology,53.08B,-1.28%,-24.48%,4.31%,7.48%,-8.92,-2.96
2388 HK Equity,BOC HONG KONG,80.24M,11.59,1.3,--,11.51%,Financials,465.20B,8.62%,8.70%,99.25%,0.30%,20.25,18.13
000568 CH Equity,LUZHOU LAOJIAO-A,79.45M,11.95,3.05,10.29,26.59%,Consumer Staples,151.32B,8.37%,20.70%,13.67%,-13.13%,-19.33,-25.25
603477 CH Equity,LESHAN GIANTST-A,79.06M,24.57,2.79,25.18,11.26%,Consumer Staples,8.95B,4.07%,6.70%,135.96%,-48.62%,-13.13,-5.96
600660 CH Equity,FUYAO GLASS-A,78.62M,14.96,3.71,24.87,25.42%,Consumer Discretionary,147.93B,6.69%,15.06%,46.57%,17.14%,-16.85,5.44
002611 CH Equity,GUANGDONG DONG-A,78.25M,28.68,3.62,27.01,13.49%,Consumer Discretionary,20.93B,3.49%,10.10%,10.74%,31.44%,-8.32,6.3
601816 CH Equity,BEIJING-SHANGH-A,78.20M,18.73,1.19,13.74,6.46%,Industrials,244.14B,5.34%,5.08%,22.62%,9.56%,-2.39,-0.86
600996 CH Equity,GUIZHOU BROADC-A,78.09M,--,5.02,--,-43.32%,Communication Services,11.73B,-10.54%,-8.81%,228.31%,1.42%,-2.89,0.76
603393 CH Equity,XINJIANG XINTA-A,78.09M,18.14,1.6,--,9.32%,Utilities,14.63B,5.51%,3.74%,64.34%,10.87%,16.9,6.62
605090 CH Equity,JIANGXI JOVO E-A,77.13M,18.57,2.56,15.22,14.30%,Energy,28.06B,5.39%,8.99%,35.81%,-11.03%,13.69,17.33
688300 CH Equity,NOVORAY CORP-A,76.67M,78.96,13.86,127.47,18.64%,Materials,22.63B,1.27%,15.07%,17.98%,7.00%,47.84,53.28
301658 CH Equity,SHENZHEN SOFAR-A,76.47M,71.92,5.46,35.12,7.79%,Industrials,17.07B,1.39%,2.74%,33.18%,1.04%,22.49,11.19
002456 CH Equity,OFILM GROUP CO-A,76.19M,752.38,7.48,--,1.09%,Information Technology,30.25B,0.13%,4.26%,152.12%,-1.16%,-29.85,-2.87
300811 CH Equity,POCO HOLDING C-A,75.74M,60.43,8.08,2.83k,15.03%,Information Technology,23.41B,1.65%,13.00%,18.10%,-3.18%,3.93,41.97
688200 CH Equity,BEIJING HUAFEN-A,75.61M,75.93,9.96,124.28,13.88%,Information Technology,38.65B,1.32%,12.52%,0.62%,75.26%,43.52,156.1
000917 CH Equity,HUNAN TV & BRO-A,75.42M,83.16,1.33,37.82,1.61%,Communication Services,13.88B,1.20%,1.71%,28.44%,-1.55%,14.77,2.78
603328 CH Equity,GUANGDONG ELLI-A,75.14M,27.26,2.94,31.95,11.16%,Information Technology,12.68B,3.67%,9.37%,15.84%,24.38%,9.96,4.85
300624 CH Equity,WONDERSHARE TE-A,74.45M,--,12.42,--,-18.65%,Information Technology,13.41B,-1.64%,-17.01%,21.53%,42.27%,-7.56,15.31
600015 CH Equity,HUAXIA BANK CO-A,74.38M,4.52,0.37,--,8.81%,Financials,116.50B,22.13%,2.23%,471.07%,29.51%,13.35,0.08
600595 CH Equity,HENAN ZHONGFU-A,74.04M,28.62,2.01,152.29,7.46%,Materials,33.59B,3.49%,6.38%,19.47%,69.49%,56.34,4.76
000681 CH Equity,VISUAL CHINA-A,73.33M,25.66,3.95,44.04,2.31%,Communication Services,14.27B,3.90%,1.80%,3.10%,830.33%,-12.24,1.65
002405 CH Equity,NAVINFO CO LTD-A,73.18M,--,2.61,--,-14.92%,Information Technology,21.45B,-6.26%,-10.43%,10.66%,-198.88%,-5.53,1.06
000766 CH Equity,TONGHUA GOLD-A,73.00M,354.21,8.85,--,2.48%,Health Care,20.36B,0.28%,2.84%,80.90%,-27.61%,-16.65,3.79
600206 CH Equity,GRINM ADVANCE-A,72.94M,64.86,4.27,201.6,6.86%,Information Technology,18.08B,1.54%,3.44%,26.26%,-25.27%,-2.86,6.36
601169 CH Equity,BANK OF BEIJIN-A,72.24M,4.48,0.41,--,9.38%,Financials,114.17B,22.32%,2.34%,452.59%,-2.16%,-1.82,-0.47
688333 CH Equity,XI'AN BRIGHT L-A,72.18M,134.06,5.17,--,4.79%,Industrials,25.48B,0.75%,3.35%,38.24%,45.59%,28.55,32.29
300776 CH Equity,WUHAN DR LASER-A,71.92M,42.36,5.63,725.14,14.07%,Information Technology,22.13B,2.36%,10.71%,20.64%,-89.61%,14.63,25.39
601818 CH Equity,CHINA EVERBRIG-A,71.66M,5.49,0.38,--,6.68%,Financials,181.75B,18.22%,2.62%,379.81%,-12.88%,-1.76,-0.28
603698 CH Equity,CHANGZHENG ENG-A,71.11M,80.05,4.95,--,6.30%,Energy,17.19B,1.25%,4.50%,35.54%,33.27%,49.56,16.12
600926 CH Equity,BANK OF HANGZH-A,71.09M,5.92,0.93,--,15.92%,Financials,124.18B,16.89%,2.89%,454.71%,-18.15%,12.96,3.4
603533 CH Equity,IREADER TECHNO-A,70.90M,--,4.75,--,-5.43%,Information Technology,10.99B,-1.19%,-6.09%,0.47%,-2.29%,29.67,7.58
002142 CH Equity,BANK OF NINGBO-A,70.89M,7.06,0.91,--,13.58%,Financials,198.77B,14.17%,3.29%,472.75%,9.16%,15.28,7.7
600216 CH Equity,ZHEJIANG MEDI-A,70.67M,12.42,1.39,10.34,11.63%,Health Care,15.54B,8.05%,8.79%,8.96%,-56.02%,11.07,3.8
000768 CH Equity,AVIC XI'AN AIR-A,70.64M,57.92,3.01,--,5.33%,Industrials,66.91B,1.73%,3.23%,40.84%,206.61%,-9.45,1.18
002046 CH Equity,SINOMACH PRECI-A,70.62M,88.22,5.78,--,7.29%,Industrials,25.02B,1.13%,5.30%,18.74%,48.03%,75.78,34.21
688800 CH Equity,SUZHOU RECODEA-A,70.40M,59.19,7.8,--,13.99%,Industrials,17.97B,1.69%,9.58%,59.11%,91.98%,14.07,55.27
301236 CH Equity,ISOFTSTONE INF-A,70.37M,182.63,3.54,--,1.95%,Information Technology,39.85B,0.55%,1.45%,72.85%,-14.64%,-27.47,-14.73
300409 CH Equity,GUANGDONG DOWS-A,70.04M,45.54,2.46,46,6.15%,Materials,20.07B,2.20%,3.93%,46.84%,193.88%,-3.21,13.36
600246 CH Equity,VANTONE NEO DE-A,69.61M,--,3.42,83.69,-6.70%,Real Estate,18.46B,-2.03%,-3.67%,32.17%,-26.82%,-22.07,3.97
600570 CH Equity,HUNDSUN TECHN-A,69.56M,39.74,4.99,54.26,13.30%,Information Technology,49.18B,2.52%,7.19%,5.18%,-5.04%,-23.66,1.36
688472 CH Equity,CSI SOLAR CO L-A,69.52M,36.88,1.99,--,5.55%,Information Technology,47.22B,2.71%,3.59%,110.13%,-89.65%,-2.04,4.08
000963 CH Equity,HUADONG MEDICI-A,69.34M,17.03,2.61,31.96,16.02%,Health Care,63.05B,5.87%,13.00%,24.31%,5.43%,-12.93,-0.03
600741 CH Equity,HUAYU AUTOM-A,69.26M,8.99,0.97,9.33,11.16%,Consumer Discretionary,64.82B,11.12%,6.13%,46.06%,-1.37%,-1.11,4.62
300602 CH Equity,SHENZHEN FRD S-A,69.03M,51.25,4.8,80.34,9.55%,Industrials,19.07B,1.95%,6.64%,54.44%,212.94%,-7.56,15.29
600552 CH Equity,TRIUMPH SCIEN-A,69.03M,94.44,2.86,--,3.06%,Information Technology,12.15B,1.06%,2.39%,106.61%,6.88%,3.63,2.96
600027 CH Equity,HUADIAN POWER-A,68.13M,7.05,0.84,4.13,11.71%,Utilities,51.32B,14.19%,3.06%,136.65%,-322.08%,-11.47,-0.83
000628 CH Equity,CHENGDU HI-TEC-A,67.93M,539.78,8.92,--,1.66%,Real Estate,19.55B,0.19%,-0.07%,110.84%,-49.25%,3.31,14.74
601377 CH Equity,INDUSTRIAL-A,67.91M,17.64,0.9,2.61,5.18%,Financials,50.18B,5.67%,1.70%,257.14%,-54.70%,-11.62,0.38
688271 CH Equity,SHANGHAI UNITE-A,67.88M,54.14,4.44,--,8.55%,Health Care,92.96B,1.85%,7.41%,5.99%,8.97%,-27.82,-20.83
601058 CH Equity,SAILUN GROUP - A,67.87M,12.2,2.14,--,18.40%,Consumer Discretionary,45.18B,8.20%,11.51%,67.73%,-6.33%,-7.29,0.89
000538 CH Equity,YUNNAN BAIYAO-A,67.75M,19.11,2.46,22.21,13.07%,Health Care,98.31B,5.23%,10.09%,5.81%,-1.99%,-3.89,-0.58
000048 CH Equity,SHENZHEN KINGK-A,67.70M,54.11,1.97,24.02,3.65%,Real Estate,8.31B,1.85%,10.06%,45.11%,-82.01%,-6.89,-1.01
603039 CH Equity,WEAVER NETWORK-A,67.65M,40.61,4.82,56.55,12.59%,Information Technology,11.81B,2.46%,10.91%,0.17%,34.88%,-19.39,-13.36
600163 CH Equity,ZHONGMIN ENER-A,67.59M,19.83,1.63,6.81,8.43%,Utilities,11.30B,5.04%,7.10%,29.41%,-89.39%,13.58,0.99
000612 CH Equity,JIAOZUO WANFAN-A,67.48M,13.94,2.08,15.67,15.96%,Materials,14.93B,7.17%,12.08%,14.48%,155.99%,39.42,5.92
300015 CH Equity,AIER EYE HSPTL-A,66.74M,27.44,3.95,21.68,15.03%,Health Care,88.59B,3.64%,12.52%,28.92%,-24.80%,-24.45,-3.25
002755 CH Equity,BEIJING AOSAI-A,66.14M,55.79,4.48,49.45,8.29%,Health Care,14.37B,1.79%,6.76%,1.63%,46.14%,-22.52,-1.84
600301 CH Equity,GUANGXI HUAXI -A,65.99M,53.46,7.28,35.9,14.61%,Materials,32.71B,1.87%,15.59%,26.67%,-41.65%,62.25,30.93
000928 CH Equity,SINOSTEEL ENGI-A,65.89M,13.46,1.2,2.38,9.01%,Industrials,10.10B,7.43%,5.93%,47.63%,-40.52%,10.34,0.92
600746 CH Equity,JIANGSU SOPO-A,65.52M,86.95,2.09,73.15,2.43%,Materials,11.57B,1.15%,2.12%,11.11%,-73.82%,36.31,0.63
600075 CH Equity,XINJIANG TIAN-A,65.44M,--,1.2,112.84,-0.62%,Materials,11.13B,-0.51%,0.04%,81.43%,-36.90%,37.26,2.25
301500 CH Equity,GUANGDONG FEIN-A,65.39M,89.23,2.95,--,3.19%,Industrials,13.82B,1.12%,2.53%,130.88%,-65.13%,36.51,11.62
688068 CH Equity,BEIJING HOTGEN-A,64.81M,--,3.8,--,-8.38%,Health Care,11.14B,-2.49%,-9.86%,2.04%,-247.17%,-25.81,12.8
603260 CH Equity,HOSHINE SILICO-A,64.29M,--,1.54,18.87,-0.11%,Materials,49.79B,-0.08%,1.44%,89.23%,-40.22%,-15.01,-13.07
300779 CH Equity,QINGDAO HUICHE-A,63.90M,664.98,13.52,--,1.99%,Industrials,18.63B,0.15%,0.72%,205.77%,354.48%,-34.93,-52.05
UOB SP Equity,UNITED OVERSEAS,63.88M,13.53,1.27,--,9.61%,Financials,61.69B,7.39%,5.39%,143.18%,26.59%,5.58,6.54
600000 CH Equity,SHANG PUDONG-A,63.55M,6.18,0.45,--,7.00%,Financials,330.73B,16.18%,3.27%,315.40%,56.17%,-16.13,0.2
YZJSGD SP Equity,YANGZIJIANG SHIP,63.54M,9.9,2.66,34.2,29.57%,Industrials,15.90B,10.11%,21.92%,17.05%,17.48%,18.82,2.3
300772 CH Equity,WINDEY ENERGY -A,63.45M,39.37,1.64,--,4.90%,Industrials,13.40B,2.54%,1.29%,205.83%,-56.75%,-14.94,6.4
000737 CH Equity,NORTH COPPER C-A,63.44M,34.01,3.91,--,12.70%,Materials,26.02B,2.94%,6.23%,154.92%,103.96%,-21.27,5.09
600063 CH Equity,ANHUI WANWEI U-A,63.37M,34.63,1.78,--,5.18%,Materials,14.92B,2.89%,2.35%,64.96%,-84.61%,10.9,3.13
600588 CH Equity,YONYOU NETWORK-A,63.30M,--,5.47,--,-24.83%,Information Technology,40.49B,-4.99%,-12.07%,66.49%,31.74%,-22.55,-1.6
600019 CH Equity,BAOSHAN IRON &-A,62.98M,14.89,0.68,5.84,4.68%,Materials,139.41B,6.72%,3.82%,22.12%,158.08%,-11.85,-0.13
241 HK Equity,ALIBABA HEALTH,62.88M,33.82,3.72,42.17,11.75%,Consumer Staples,75.22B,2.96%,6.70%,0.43%,52.31%,-25.24,0.2
001979 CH Equity,CHINA MERCHANT-A,62.83M,100.64,0.74,--,0.73%,Real Estate,72.13B,0.99%,0.29%,90.19%,256.15%,-21.41,-1.69
2313 HK Equity,SHENZHOU INTL GP,62.58M,11.14,1.73,17.58,15.88%,Consumer Discretionary,74.36B,8.97%,10.86%,39.66%,-11.87%,-22.99,2.34
601901 CH Equity,FOUNDER SECURI-A,62.26M,14.25,1.12,2.79,8.02%,Financials,57.13B,7.02%,2.15%,257.69%,-96.13%,-14.62,-0.16
000690 CH Equity,BAONENGYUAN-A,62.24M,10.7,0.8,22.16,7.59%,Utilities,10.05B,9.35%,4.43%,61.72%,15.69%,-2.74,0.88
688005 CH Equity,NINGBO RONBAY -A,62.08M,--,2.52,19.77,-0.29%,Industrials,20.69B,-0.11%,0.20%,141.08%,34.35%,-1.36,11.56
002311 CH Equity,GUANGDONG HAID-A,61.91M,16.57,3.29,32.04,21.17%,Consumer Staples,83.19B,6.04%,15.13%,37.90%,2.13%,-20.51,-2.79
000727 CH Equity,TPV TECHNOLOGY-A,61.20M,--,5.5,--,-22.74%,Information Technology,12.73B,-4.62%,-3.42%,164.35%,-512.93%,2.93,0.38
601009 CH Equity,BANK OF NANJIN-A,61.16M,6,0.75,--,12.72%,Financials,136.25B,16.66%,2.86%,476.06%,6.88%,4.69,1.11
600810 CH Equity,SHENMA INDUS C-A,61.16M,--,1.33,--,-0.36%,Materials,10.06B,-0.31%,-0.09%,139.87%,--,-21.03,1.42
002396 CH Equity,FUJIAN STAR-A,61.14M,39.98,2.35,9.36,5.99%,Information Technology,16.36B,2.50%,6.95%,29.18%,-77.49%,-4.25,9.95
603496 CH Equity,EMBEDWAY TECHN-A,60.84M,--,6.6,41.6,-0.89%,Information Technology,9.19B,-0.14%,-1.33%,25.64%,62.63%,-3.38,3.58
600674 CH Equity,SICHUAN CHUAN-A,60.53M,16.59,1.61,18.14,9.96%,Utilities,71.46B,6.03%,0.78%,40.09%,-16.23%,-0.41,-1.96
2331 HK Equity,LI NING CO LTD,60.49M,17.34,1.69,11.58,10.93%,Consumer Discretionary,58.57B,5.77%,9.23%,7.56%,20.28%,33.92,8.91
688082 CH Equity,ACM RESEARCH S-A,60.16M,48.21,5.39,--,13.21%,Information Technology,72.66B,2.07%,11.27%,14.00%,-64.88%,-21.27,55.56
002389 CH Equity,AEROSPACE CH U-A,60.15M,780.49,2.62,--,0.34%,Information Technology,21.00B,0.13%,0.46%,10.73%,-47.85%,-5.33,2.5
1 HK Equity,CKH HOLDINGS,60.13M,20.39,0.43,5.51,2.16%,Industrials,241.29B,4.90%,1.34%,48.56%,34.91%,21.04,27.65
688147 CH Equity,JIANGSU LEADMI-A,60.03M,93.82,10.28,--,11.74%,Information Technology,30.75B,1.07%,6.28%,114.81%,-43.52%,21.21,39.2
300253 CH Equity,WINNING HEALTH-A,59.97M,--,3.23,79.19,-5.29%,Health Care,18.56B,-1.67%,-3.10%,20.11%,64.28%,-8.07,-1.01
300008 CH Equity,BESTWAY MARINE-A,59.75M,43.44,5.37,87.19,13.24%,Industrials,12.96B,2.30%,9.02%,48.83%,-72.66%,17.37,1.76
300244 CH Equity,DIAN DIAGNOSTI-A,59.58M,--,1.77,6.28,-6.38%,Health Care,11.67B,-3.78%,-1.88%,34.89%,-87.57%,16.61,5.08
000999 CH Equity,CHINA RESOURCE-A,59.57M,13.44,2.08,14.98,16.26%,Health Care,46.08B,7.44%,11.13%,18.87%,181.26%,-3.17,-5.88
300378 CH Equity,DIGIWIN CO LTD,59.56M,66.32,4.59,1.01k,7.14%,Information Technology,10.94B,1.51%,4.98%,42.84%,0.34%,-28.4,9.47
002617 CH Equity,ROSHOW TECHNOL-A,59.04M,51.74,2.2,--,4.34%,Industrials,13.96B,1.93%,3.52%,33.09%,252.84%,-19.49,0.68
002077 CH Equity,JIANGSU DAGANG-A,58.96M,196.98,2.71,80.22,1.33%,Real Estate,9.10B,0.51%,-0.33%,14.32%,173.09%,-5.08,2.54
300122 CH Equity,CHONGQING ZHIF-A,58.92M,--,1.28,59.86,-4.41%,Health Care,37.44B,-3.58%,-2.68%,47.62%,-433.14%,-25.2,-7.67
000555 CH Equity,DIGITAL CHINA -A,58.78M,247.83,2.5,--,1.00%,Information Technology,14.57B,0.40%,0.90%,47.41%,912.03%,9.46,4.41
9633 HK Equity,NONGFU SPRING -H,58.72M,29.59,11.89,53.6,44.23%,Consumer Staples,538.26B,3.38%,37.36%,11.38%,38.98%,-11.45,13.41
600686 CH Equity,XIAMEN KING LO-A,58.54M,35.87,3.64,21.64,10.19%,Industrials,11.91B,2.79%,2.50%,295.80%,208.45%,29.26,4.65
285 HK Equity,BYD ELECTRONIC,58.47M,15.66,1.6,4.35,10.52%,Information Technology,63.36B,6.39%,7.75%,25.81%,-35.30%,-32.11,-2.36
600773 CH Equity,TIBET URBAN -A,58.47M,336.62,3.51,--,1.05%,Real Estate,16.58B,0.30%,-3.13%,70.21%,-4.83%,56.94,8.34
000901 CH Equity,AEROSPACE HI-T-A,58.47M,151.5,4.14,48.42,2.77%,Consumer Discretionary,17.87B,0.66%,0.03%,13.44%,-281.61%,30.63,12.28
688001 CH Equity,SUZHOU HYC TEC-A,58.46M,--,5.29,105.67,-8.05%,Information Technology,18.62B,-1.59%,-5.98%,39.97%,65.10%,40.42,16.02
600388 CH Equity,FUJIAN LONGKIN-A,58.41M,21.88,2.23,59.3,10.52%,Industrials,24.49B,4.57%,6.86%,46.86%,61.73%,26.59,7.68
603300 CH Equity,ZHEJIANG HAIKONG,58.37M,20.14,2.03,17.05,10.30%,Industrials,13.30B,4.96%,6.54%,229.95%,21.12%,-14.92,-3.06
603227 CH Equity,XINJIANG XUEFE-A,57.58M,21.59,2.11,47.36,10.00%,Materials,10.88B,4.63%,8.26%,15.37%,72.23%,6.17,1.43
600114 CH Equity,NBTM NEW MATER-A,57.57M,34.63,5.71,25.78,18.07%,Consumer Discretionary,18.97B,2.89%,12.10%,69.00%,78.70%,-9.05,13.3
600201 CH Equity,JINYU BIO-TECH-A,57.50M,164.21,3.07,81.37,1.85%,Health Care,16.80B,0.61%,0.75%,0.68%,94.67%,48.72,7.89
600452 CH Equity,CHONGQING FULI-A,57.22M,45.17,3.24,259.3,7.26%,Utilities,17.73B,2.21%,6.28%,0.41%,-42.24%,18.97,2.45
688502 CH Equity,MLOPTIC CORP-A,56.95M,319.11,15.04,--,4.80%,Information Technology,18.19B,0.31%,3.89%,11.64%,22.18%,-16.6,82.23
000811 CH Equity,MOON ENVIRONME-A,56.90M,31.83,3.02,26.73,9.68%,Industrials,18.58B,3.14%,6.52%,24.69%,11.72%,30.27,10.52
600643 CH Equity,SHANGHAI AJ GR-A,56.78M,--,0.69,--,-4.82%,Financials,8.24B,-7.18%,-3.61%,76.09%,-91.56%,-8.01,0.52
600372 CH Equity,AVIC AIRBORNE SY,56.75M,58.54,1.64,--,2.83%,Industrials,62.52B,1.71%,2.43%,46.57%,34.13%,2.97,2.09
603236 CH Equity,QUECTEL WIRELE-A,56.74M,20.57,4.39,--,23.15%,Information Technology,21.84B,4.86%,12.20%,93.24%,84.38%,-26.91,8.9
300443 CH Equity,JINLEI TECHNOL-A,56.57M,29.92,1.5,--,5.11%,Industrials,9.45B,3.34%,4.79%,0.24%,-33.83%,-1.42,11.15
300260 CH Equity,KUNSHAN KINGL-A,56.41M,114.04,9.5,--,8.66%,Industrials,19.88B,0.88%,5.16%,104.13%,-33.83%,-10.8,9.55
002237 CH Equity,SHANDONG HUMON-A,56.40M,27.41,1.63,--,5.51%,Materials,21.65B,3.65%,3.66%,95.34%,646.96%,-0.53,4.78
688036 CH Equity,SHENZHEN TRANS-A,56.37M,23.14,2.93,17.07,12.66%,Information Technology,60.06B,4.32%,7.88%,35.15%,-75.84%,-40.49,-34.7
688169 CH Equity,BEIJING ROBORO-A,56.26M,19.07,2.14,--,11.84%,Consumer Discretionary,29.54B,5.24%,9.04%,8.67%,31.09%,-42.36,-22.71
603826 CH Equity,FUJIAN KUNCAI -A,56.22M,484.46,8.9,--,1.86%,Materials,17.36B,0.21%,2.57%,96.13%,0.81%,37.68,8.49
823 HK Equity,LINK REIT,55.92M,--,0.62,16.88,-4.11%,Real Estate,97.82B,-6.94%,-2.53%,34.48%,-0.02%,-4,7.56
1109 HK Equity,CHINA RES LAND,55.78M,7.18,0.6,17.47,9.05%,Real Estate,209.51B,13.93%,4.43%,68.59%,-9.35%,-0.27,5.4
301291 CH Equity,GUANGDONG MING-A,55.77M,23.77,3.36,--,14.84%,Industrials,16.51B,4.21%,11.44%,26.64%,-15.67%,5.78,12.29
002236 CH Equity,ZHEJIANG DAHUA-A,55.71M,14.53,1.48,15.34,10.53%,Information Technology,56.70B,6.88%,6.54%,9.90%,55.35%,-15.37,2.72
