Ticker,Short Name,Avg D Val Traded 5D:D-5,P/E,P/B,P/FCF,ROE LF,GICS Sector,Market Cap,Earnings Yield,ROIC LF,Debt/Equity LF,Dil EPS Frm Cont Op 1Y Gr LF,Current 6 Month Total Return (BLOOMBERG L.P.),Tot Ret 1Y Net
300525 CH Equity,FUJIAN BOSS SO-A,16.97M,27.93,3.06,27.3,11.56%,Information Technology,7.78B,3.58%,10.00%,22.35%,-25.48%,-26.03,-4.35
300678 CH Equity,CHENGDU INFORM-A,16.95M,588.53,9.85,156.31,1.67%,Information Technology,8.43B,0.17%,0.92%,0.95%,195.10%,-19.64,-0.38
301510 CH Equity,GOOGOL TECHNOL-A,16.94M,184.34,8.61,518.87,4.75%,Information Technology,12.14B,0.54%,4.02%,1.84%,403.30%,-12.03,0.33
002216 CH Equity,SANQUAN FOOD -A,16.91M,20.62,2.49,37.85,12.33%,Consumer Staples,11.26B,4.85%,8.64%,15.59%,24.56%,17.63,1.02
300598 CH Equity,ARCHERMIND TEC-A,16.86M,--,5.42,--,-7.29%,Information Technology,8.06B,-1.39%,-4.90%,58.46%,61.57%,-26.02,-6.75
002791 CH Equity,GUANGDONG KINL-A,16.82M,92.13,1.19,44.78,1.31%,Industrials,6.68B,1.09%,1.11%,16.98%,70.57%,-12.91,-6.68
600403 CH Equity,HENAN DAYOU-A,16.82M,--,3.7,--,-43.17%,Energy,13.60B,-14.82%,-15.97%,137.70%,-182.30%,32.02,2.36
002761 CH Equity,ZHEJIANG CONST-A,16.81M,63.38,1.34,4.02,2.13%,Industrials,11.00B,1.58%,0.53%,226.41%,61.13%,-11.61,0.16
301109 CH Equity,HUNAN JUNXIN E-A,16.71M,16.62,1.54,11.48,9.81%,Industrials,12.01B,6.02%,8.61%,31.48%,-36.35%,4.32,2.64
688596 CH Equity,SHANGHAI GENTE-A,16.68M,32.3,2.36,--,7.62%,Information Technology,8.78B,3.10%,5.43%,86.50%,-41.18%,-33.92,-7.45
1038 HK Equity,CKI HOLDINGS,16.66M,19.8,1.28,--,6.63%,Utilities,163.90B,5.05%,0.01%,15.11%,3.04%,25.7,21.31
300687 CH Equity,GUANGZHOU SIE -A,16.65M,106.98,2.8,--,2.67%,Information Technology,7.71B,0.93%,2.12%,21.50%,-85.05%,-33.11,-7.48
000935 CH Equity,SICHUAN HEXIE-A,16.61M,55.01,2.52,81.48,4.73%,Materials,19.71B,1.82%,3.31%,10.95%,177.07%,14.5,11.16
603317 CH Equity,SICHUAN TEWAY-A,16.58M,24.61,3.09,25.3,12.50%,Consumer Staples,14.03B,4.06%,11.17%,0.13%,-4.15%,14.61,0.06
688798 CH Equity,SHANGHAI AWINI-A,16.52M,49.43,3.77,46.8,7.81%,Information Technology,15.73B,2.02%,6.01%,9.88%,50.76%,-21.89,5.05
UMSH SP Equity,UMS INTEGRATION,16.48M,36.49,3.54,996.5,9.82%,Information Technology,1.52B,2.74%,9.24%,2.10%,-1.97%,48.48,0.98
SATS SP Equity,SATS LTD,16.48M,19.82,1.85,--,9.65%,Industrials,5.41B,5.05%,--,93.10%,19.15%,4.89,1.05
000756 CH Equity,SHANDONG XINHU-A,16.46M,13.6,0.73,9.58,5.68%,Health Care,8.46B,7.35%,4.39%,36.80%,-74.88%,-7.13,1.27
688591 CH Equity,TELINK SEMICON-A,16.46M,51.07,3.56,43.18,5.33%,Information Technology,8.98B,1.96%,5.98%,1.25%,-0.55%,-35.47,1.33
762 HK Equity,CHINA UNICOM,16.43M,9.24,0.52,--,5.71%,Communication Services,220.61B,10.82%,3.66%,9.19%,5.33%,-19.44,-1.06
